"CustomerID","Segment","Currency"
"10","LAM","EUR"
"100","LAM","EUR"
"1000","KAM","CZK"
"10000","SME","CZK"
"10001","SME","CZK"
"10002","SME","CZK"
"10003","SME","CZK"
"10004","SME","CZK"
"10005","SME","CZK"
"10006","SME","CZK"
"10007","SME","CZK"
"10008","SME","CZK"
"10009","SME","CZK"
"1001","SME","CZK"
"10010","SME","CZK"
"10011","SME","CZK"
"10012","SME","CZK"
"10013","SME","CZK"
"10014","SME","CZK"
"10015","SME","CZK"
"10016","SME","CZK"
"10017","SME","CZK"
"10018","SME","CZK"
"10019","SME","CZK"
"1002","SME","CZK"
"10020","SME","CZK"
"10021","SME","CZK"
"10022","SME","CZK"
"10023","SME","CZK"
"10024","SME","CZK"
"10025","SME","CZK"
"10026","SME","CZK"
"10027","SME","CZK"
"10028","SME","CZK"
"10029","SME","CZK"
"1003","SME","CZK"
"10030","SME","CZK"
"10031","SME","CZK"
"10032","SME","CZK"
"10033","SME","CZK"
"10034","SME","CZK"
"10035","SME","CZK"
"10036","SME","CZK"
"10037","SME","CZK"
"10038","SME","CZK"
"10039","SME","CZK"
"1004","KAM","CZK"
"10040","SME","CZK"
"10041","SME","CZK"
"10042","SME","CZK"
"10043","SME","CZK"
"10044","SME","CZK"
"10045","LAM","CZK"
"10046","SME","CZK"
"10047","SME","CZK"
"10048","LAM","CZK"
"10049","SME","CZK"
"1005","SME","CZK"
"10050","SME","CZK"
"10051","SME","CZK"
"10052","KAM","CZK"
"10053","SME","CZK"
"10054","SME","CZK"
"10055","KAM","CZK"
"10056","SME","CZK"
"10057","SME","CZK"
"10058","LAM","CZK"
"10059","SME","CZK"
"1006","SME","CZK"
"10060","KAM","CZK"
"10061","SME","CZK"
"10062","SME","CZK"
"10063","LAM","CZK"
"10064","SME","CZK"
"10065","SME","CZK"
"10066","SME","CZK"
"10067","SME","CZK"
"10068","LAM","CZK"
"10069","SME","CZK"
"1007","SME","CZK"
"10070","SME","CZK"
"10071","KAM","CZK"
"10072","SME","CZK"
"10073","SME","CZK"
"10074","SME","CZK"
"10075","SME","CZK"
"10076","KAM","CZK"
"10077","SME","CZK"
"10078","SME","CZK"
"10079","LAM","CZK"
"1008","SME","CZK"
"10080","SME","CZK"
"10081","SME","CZK"
"10082","SME","CZK"
"10083","LAM","CZK"
"10084","LAM","CZK"
"10085","SME","CZK"
"10086","SME","CZK"
"10087","SME","CZK"
"10088","SME","CZK"
"10089","SME","CZK"
"1009","SME","CZK"
"10090","SME","CZK"
"10091","LAM","CZK"
"10092","SME","CZK"
"10093","SME","CZK"
"10094","SME","CZK"
"10095","SME","CZK"
"10096","SME","CZK"
"10097","SME","CZK"
"10098","SME","CZK"
"10099","SME","CZK"
"101","KAM","EUR"
"1010","SME","CZK"
"10100","SME","CZK"
"10101","SME","CZK"
"10102","SME","CZK"
"10103","SME","CZK"
"10104","KAM","CZK"
"10105","KAM","CZK"
"10106","KAM","CZK"
"10107","SME","CZK"
"10108","SME","CZK"
"10109","LAM","CZK"
"1011","KAM","CZK"
"10110","SME","CZK"
"10111","LAM","CZK"
"10112","SME","CZK"
"10113","SME","CZK"
"10114","SME","CZK"
"10115","SME","CZK"
"10116","SME","CZK"
"10117","SME","CZK"
"10118","SME","CZK"
"10119","SME","CZK"
"1012","LAM","CZK"
"10120","SME","CZK"
"10121","SME","CZK"
"10122","SME","CZK"
"10123","SME","CZK"
"10124","SME","CZK"
"10125","SME","CZK"
"10126","SME","CZK"
"10127","SME","CZK"
"10128","SME","CZK"
